,x,y,from,to,col_0,col_1,col_2,col_3
0,-0.20538044536944647,-1.928528363777462,6,24,3.0,9.0,0.025905315047092765,0
1,-0.3378547372145211,-2.128644119099662,11,25,3.0,9.0,0.025905315047092765,0
2,-0.02077231239850358,-1.8625851262521418,0,0,3.0,9.0,0.025905315047092765,0
3,-0.3328684659752823,-2.2555978005472443,1,1,3.0,9.0,0.025905315047092765,0
4,0.00427731630583611,-1.9375418548558359,6,24,3.0,9.0,0.025905315047092765,0
5,-0.3811606039549631,-1.924290235953955,11,25,3.0,9.0,0.025905315047092765,0
6,-0.054953536348051085,-2.116759643231597,0,0,3.0,9.0,0.025905315047092765,0
7,-0.38660013392612647,-1.8387024653303112,1,1,3.0,9.0,0.025905315047092765,0
8,-0.20132145011121494,-2.2592080417993516,6,24,3.0,9.0,0.025905315047092765,0
9,-0.33215875282409446,-2.281493391966097,11,25,3.0,9.0,0.025905315047092765,0
10,0.04155360772401542,-2.2428421716233897,0,0,3.0,9.0,0.025905315047092765,0
11,-0.042262924204671315,-2.099443242996079,1,1,3.0,9.0,0.025905315047092765,0
12,-0.40763694254953353,-2.0460373871848554,6,24,3.0,9.0,0.025905315047092765,0
13,-0.029076872890412858,-2.1484116103988122,11,25,3.0,9.0,0.025905315047092765,0
14,0.142200019244614,-2.108296166377445,0,0,3.0,9.0,0.025905315047092765,0
15,-1.213998339332191,-1.9870663164483442,1,1,3.0,9.0,0.025905315047092765,0
16,-1.0096437915037042,-2.1775804645593335,6,24,3.0,9.0,0.025905315047092765,0
17,-1.149972110417571,-1.8694341734338098,11,25,3.0,9.0,0.025905315047092765,0
18,-1.3637422461079254,-2.313506081989041,0,0,3.0,9.0,0.025905315047092765,0
19,-0.9759800759570697,-1.8739566009697488,1,1,3.0,9.0,0.025905315047092765,0
20,-1.1330098516445652,-1.211764678549006,6,24,3.0,9.0,0.025905315047092765,0
21,-1.1116385713663721,-2.1031696714450367,11,25,3.0,9.0,0.025905315047092765,0
22,-1.0139349692649389,-1.665704744800982,0,0,3.0,9.0,0.025905315047092765,0
23,-1.1227645075794754,-2.323644990777128,1,1,3.0,9.0,0.025905315047092765,0
24,-1.0477162508051043,-1.8840393352848113,6,24,3.0,9.0,0.025905315047092765,0
25,-1.04243064031595,-1.9081857561426339,11,25,3.0,9.0,0.025905315047092765,0
26,-0.9684127189482581,-1.4345957592097598,0,0,3.0,9.0,0.025905315047092765,0
27,-1.1323182149474167,-2.5029873661294735,1,1,3.0,9.0,0.025905315047092765,0
28,-1.119715139118528,-1.9490658122421258,6,24,3.0,9.0,0.025905315047092765,0
29,-1.0615682320316875,-2.1775062811240122,11,25,3.0,9.0,0.025905315047092765,0
